Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
98	Kirsche	pflücken	n			9	Kirschen	gepflückt	X	pflückte|pflückten|pflücken|pflücke|pflückt	41	1	2	1	3	0	1	24	1	4	0	0	13	0	45	1	0	0	0	8	0	0	0	0	0	0	0	0	17	0	0	0	0	2	0
133	Beere	pflücken	n			7	Beeren	gepflückt	X	pflückte|pflückten|pflücken|pflücke|pflückt	42	1	5	0	14	0	0	31	0	12	0	0	19	2	78	3	1	0	0	30	0	1	0	0	0	0	0	0	18	1	0	0	0	9	1
42	Rosine	picken	n			22	Rosinen	gepickt	X	pickte|picket|pickt|pickten|picke|picken	154	2	41	0	14	0	0	11	1	1	0	0	89	3	51	1	1	0	0	6	0	3	0	0	0	0	0	1	1	1	0	1	0	7	0
114	Ei	picken	er			8	Eier	gepickt	X	pickte|picket|pickt|pickten|picke|picken	35	1	7	0	1	0	0	8	1	0	0	0	8	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
87	Krabbe	pulen	n			10	Krabben	gepult	X	pule|pulst|pult|pulen|pulte|pultest|pulte|pulten|pultet	86	1	13	0	1	0	0	21	0	2	0	0	53	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0
54	Zahn	putzen	~e			17	Zähne	geputzt	X	putzt|putze|putzte|putzen|putzten	7089	253	1707	33	1069	57	7	2147	59	184	10	1	2812	199	2191	147	30	0	0	136	4	27	2	2	0	0	4	4	229	24	1	12	2	157	11
17	Zigarette	rauchen	n			56	Zigaretten	geraucht	X	raucht|rauchen|rauche|rauchst|rauchten|rauchte	584	7	193	2	68	5	3	77	2	9	2	0	343	3	344	10	7	0	0	98	5	2	0	0	0	0	0	0	287	24	1	1	0	183	9
55	Kette	rauchen	n			17	Ketten	geraucht	X	raucht|rauchen|rauche|rauchst|rauchten|rauchte	110	12	22	2	2	0	0	17	0	0	0	0	87	17	1	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0
92	Zigarre	rauchen	n			9	Zigarren	geraucht	X	raucht|rauchen|rauche|rauchst|rauchten|rauchte	58	3	28	1	15	0	1	10	1	1	0	0	24	1	56	7	1	0	0	11	0	0	0	1	0	0	0	0	29	2	0	0	0	50	0
19	Haar	raufen	e			46	Haare	gerauft	X	raufte|rauft|rauften|raufen	405	31	21	1	535	5	0	291	22	503	49	8	66	8	110	37	4	0	0	6	2	2	0	6	0	0	0	0	8	6	0	0	0	8	6
123	Mine	räumen	n			7	Minen	geräumt	X	räume|räumt|räumen|räumten|räumte	176	1	20	0	10	1	0	60	2	0	0	0	47	0	46	2	0	0	0	14	0	1	0	0	0	0	0	1	31	1	0	0	0	9	0
134	Zunge	reden	n			6	Zungen	geredet	X	redeten|redete|redet|redest|rede|reden	534	6	208	3	8	0	0	42	1	0	0	0	329	5	239	2	0	0	0	40	0	0	0	0	0	0	0	0	31	1	0	597	14	147	1
85	Waffe	reinigen	n			10	Waffen	gereinigt	X	reinige|reinigt|reinigten|reinigen|reinigte	130	2	19	0	4	0	0	59	2	2	0	0	55	3	27	2	1	0	0	5	0	0	0	1	0	0	0	0	10	0	0	0	0	2	0
120	Scheibe	reinigen	n			7	Scheiben	gereinigt	X	reinige|reinigt|reinigten|reinigen|reinigte	30	0	3	0	28	0	0	19	1	5	0	1	6	1	32	2	1	0	0	2	0	0	0	0	0	0	0	0	9	2	0	0	0	2	0
46	Elefant	reiten	en			20	Elefanten	geritten	X	ritt|reitet|reitest|reite|ritten|reiten	184	4	29	0	47	1	0	25	0	1	2	0	167	7	64	3	5	0	0	4	0	0	0	0	0	0	0	0	9	1	0	190	0	6	0
48	Bulle	reiten	n			19	Bullen	geritten	X	ritt|reitet|reitest|reite|ritten|reiten	228	6	33	0	9	0	0	54	0	0	0	0	179	4	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
70	Pferd	reiten	e			13	Pferde	geritten	X	ritt|reitet|reitest|reite|ritten|reiten	110	4	13	2	42	6	13	12	2	3	1	0	142	1	142	17	16	1	0	36	2	0	0	0	0	0	1	0	46	1	0	42	0	47	7
101	Gans	reiten	~e			9	Gänse	geritten	X	ritt|reitet|reitest|reite|ritten|reiten	85	0	35	0	0	0	0	10	0	0	0	0	12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0
152	Lanze	reiten	n			6	Lanzen	geritten	X	ritt|reitet|reitest|reite|ritten|reiten	32	0	5	0	0	0	0	5	0	0	0	0	32	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0
206	Aufgabe	reiten	n			5	Aufgaben	geritten	X	ritt|reitet|reitest|reite|ritten|reiten	8	0	1	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
183	Lunge	röntgen	n			5	Lungen	geröntgt	X	röntgt|röntgen	70	10	21	2	2	1	0	16	2	2	0	0	46	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189	Kartoffel	schälen	n			5	Kartoffeln	geschält	X	schält|schäle|schälen|schälte|schälten	20	1	2	0	800	2	2	11	0	13	1	0	11	1	1021	10	2	0	0	65	2	0	0	1	0	0	0	0	94	4	0	0	0	58	0
53	Ähre	schieben	n			17	Ähren	geschoben	X	schöben|schoben|schiebt|schiebst|schob|schiebe|schieben	73	0	28	0	1	0	0	25	0	0	0	0	33	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0
7	Tor	schießen	e			140	Tore	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	1453	16	747	10	1124	45	9	416	6	268	8	1	98	2	2506	114	7	0	0	627	21	55	1	24	0	3	1	0	1773	117	3	0	0	1226	53
8	Pistole	schießen	n			134	Pistolen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	152	2	16	0	2	0	0	65	0	0	0	0	82	2	9	2	2	0	0	3	1	2	0	0	0	0	1	0	8	1	0	0	0	5	0
16	Scheibe	schießen	n			57	Scheiben	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	559	0	166	0	6	0	0	78	0	1	0	0	129	0	30	2	1	0	0	11	0	7	0	0	0	0	0	0	29	1	0	0	0	8	1
36	Vergleich	schießen	s			24	Vergleiche	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	285	0	100	2	0	0	0	31	1	0	0	0	60	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0
67	Bezirk	schießen	s			14	Bezirke	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	29	0	13	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
69	Präzision	schießen	s			13	Präzision	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	106	2	14	0	0	0	0	41	1	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
74	Entscheidung	schießen	s			13	Entscheidungen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	98	0	34	0	0	0	0	48	0	0	0	0	25	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
89	Jubiläum	schießen	s			10	Jubiläen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	78	1	26	0	0	0	0	12	0	0	0	0	22	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
105	Verteidigung	schießen	s			8	Verteidigungen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	54	1	8	0	0	0	0	17	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	Training	schießen	s			7	Trainings	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	32	0	13	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
125	Mannschaft	schießen	s			7	Mannschaften	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	57	0	11	0	0	0	0	20	0	0	0	0	23	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
128	Gans	schießen	~e			7	Gänse	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	6	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0
161	Dose	schießen	n			6	Dosen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	38	0	7	0	0	0	0	9	1	1	0	0	48	0	18	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
162	Büchse	schießen	n			6	Büchsen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	69	0	13	0	2	0	0	26	0	0	0	0	27	0	3	0	0	0	0	4	0	1	0	0	0	0	23	0	3	0	0	0	0	0	0
166	Bedingung	schießen	s			6	Bedingungen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	6	0	5	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
175	Senior	schießen	en			5	Senioren	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	16	0	6	0	2	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
177	Prinz	schießen	en			5	Prinzen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	48	3	14	0	0	0	0	9	0	0	0	0	21	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
182	Medaille	schießen	n			5	Medaillen	geschossen	X	schoß|schiesst|schieße|schießen|schössen|schossen|schiesse|schoss|schießt|schiessen	16	0	9	0	0	0	0	3	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
