Index	Osort	Noun	Verb	Linking	Compound	Valency	Relation	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
632	11	Kopf	abschlagen	0	Kopfabschlagen	Transitive	Object		ab	5	Köpfe	abgeschlagen	abzuschlagen	abschlagen|abschlägt|abschlug	25	1	7	0	344	1	0	5	0	2	0	0	20	0	36	16	0	0	0	0	0	0	0	0	0	0	1	0	16	15	0	0	0	2	4
531	12	Kot	absetzen	0	Kotabsetzen	Transitive	Object		ab	6	Kote	abgesetzt	abzusetzen	absetzten|absetzt|absetze|absetzen|absetzte	58	0	22	3	63	1	0	31	2	36	2	0	14	0	232	3	0	0	0	0	0	0	0	0	0	0	0	0	127	7	0	3	0	79	4
572	13	Arsch	abwischen	0	Arschabwischen	Optional	Object		ab	6	Ärsche	abgewischt	abzuwischen	abwischen|abwischt|abwischte	20	6	5	1	78	16	0	17	3	9	4	1	13	2	18	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
450	14	Telefon	anfragen	0	Telefonanfragen	Erroneous	Erroneous		an	7	Telefone	angefragt	anzufragen	anfragte|anfrage|anfragen|anfragt|anfragten	67	0	9	0	0	0	0	0	0	0	0	0	64	0	33	0	5	0	0	0	0	0	0	1	0	2	0	0	11	0	0	23	2	0	0
164	15	Hand	anlegen	0	Handanlegen	Transitive	Object		an	24	Hände	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen	221	53	19	1	182	2	0	14	0	2	0	0	176	78	6773	288	8	3	2	0	0	0	0	0	0	0	4	9	1736	64	1	3	7	887	32
217	16	Geld	anlegen	0	Geldanlegen	Transitive	Object		an	18	Gelder	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen	85	1	9	0	230	5	0	53	0	47	1	3	34	1	1380	32	8	0	0	0	0	0	0	0	0	0	1	0	193	2	0	2	0	192	8
350	17	Zeit	ansagen	0	Zeitansagen	Transitive	Object		an	10	Zeiten	angesagt	anzusagen	ansagt|ansage|ansagte|ansagen|ansagten	58	0	14	0	21	0	0	0	0	0	0	0	45	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	442	10	0	0
477	18	Gefährder	anschreiben	0	Gefährderanschreiben	Erroneous	Erroneous		an	7	Gefährder	angeschrieben	anzuschreiben	anschreibt|anschreiben|anschrieb	36	0	15	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511	19	Schuss	antäuschen	0	Schussantäuschen	Optional	Object		an	6	Schuss	angetäuscht	X	antäuscht|antäuschen	8	1	3	0	7	0	0	1	0	2	0	0	4	1	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	20	Probe	anziehen	0	Probeanziehen	Optional	Adjunct		an	12	Proben	angezogen	anzuziehen	anziehen|anzog|anzieht|anzogen|anziehst|anziehe	10	4	2	0	0	0	0	4	0	1	0	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501	21	Wasser	atmen	0	Wasseratmen	Optional	Object			6	Wassern	geatmet	X	atmet|atmete|atmeten|atme|atmen|atmest	23	0	2	0	12	0	0	1	0	23	0	0	24	0	347	19	7	0	0	73	2	0	0	1	0	0	0	0	4	0	0	0	0	16	0
518	22	Plasma	ätzen	0	Plasmaätzen	Transitive	Adjunct			6	Plasma	geätzt	X	ätzt|ätzen|ätzten|ätzte|ätze	37	1	6	0	1	0	0	8	0	0	0	1	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	23	Zelt	aufbauen	0	Zeltaufbauen	Transitive	Object		auf	12	Zelten	aufgebaut	aufzubauen	aufbauen|aufbaut|aufbauten|aufbaust|aufbaute|aufbaue	99	7	39	0	223	6	0	26	3	23	3	0	32	2	481	24	0	0	0	0	0	0	0	1	0	0	0	0	192	6	0	18	0	46	2
578	24	Wasser	auffüllen	0	Wasserauffüllen	Transitive	Object		auf	5	Wassern	aufgefüllt	aufzufüllen	auffüllen|auffüllte|auffüllten|auffüllt|auffülle	24	3	9	1	119	3	0	14	1	9	1	0	11	2	1017	39	0	0	0	0	0	0	0	0	0	0	0	0	362	29	0	0	0	35	0
220	25	Wäsche	aufhängen	0	Wäscheaufhängen	Transitive	Object		auf	17	Wäschen	aufgehängt	aufzuhängen	aufhing|aufhängen|aufhängt|aufhängst	153	5	24	0	94	4	0	114	1	71	5	1	43	1	453	49	4	0	0	0	0	2	0	1	0	0	0	0	79	6	0	0	0	30	0
474	26	Hand	aufheben	0	Handaufheben	Transitive	Adjunct		auf	7	Hände	aufgehoben	aufzuheben	aufhebe|aufhoben|aufheben|aufhob|aufhöben|aufhebt	155	0	3	0	14	2	0	0	0	0	0	0	227	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
27	27	Hand	auflegen	0	Handauflegen	Transitive	Object		auf	210	Hände	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	2136	113	241	6	68	7	0	70	2	3	1	0	2335	129	232	12	1	0	0	0	0	1	1	0	0	0	1	1	21	3	0	5	0	20	0
631	28	Kopf	auflegen	0	Kopfauflegen	Transitive	Object		auf	5	Köpfe	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	20	1	3	0	9	0	0	0	0	1	0	0	14	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
302	29	Zimmer	aufräumen	0	Zimmeraufräumen	Optional	Object		auf	12	Zimmer	aufgeräumt	aufzuräumen	aufräumten|aufräumen|aufräumt|aufräumte	43	6	6	0	75	2	1	12	1	15	1	1	23	5	806	109	1	0	0	0	0	0	0	0	0	0	0	0	146	22	0	0	0	50	2
449	30	Teppich	knüpfen	0	Teppichknüpfen	Transitive	Object			7	Teppichen	geknüpft	X	knüpfen|knüpfe|knüpft|knüpften|knüpfte	69	0	24	0	8	0	1	21	0	2	0	0	49	1	9	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
532	31	Knoten	knüpfen	0	Knotenknüpfen	Transitive	Object			6	Knoten	geknüpft	X	knüpfen|knüpfe|knüpft|knüpften|knüpfte	15	0	1	0	24	0	0	2	0	0	0	0	9	0	34	0	0	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	0	5	0
69	32	Kaffee	kochen	0	Kaffeekochen	Optional	Object			69	Kaffees	gekocht	X	kocht|kochte|kochten|kochen|koche	570	18	89	0	280	8	1	216	7	82	3	1	362	17	1693	78	13	0	0	248	4	3	1	5	1	0	0	0	398	8	0	1	0	157	7
167	33	Show	kochen	0	Showkochen	Optional	Adjunct			23	Shows	gekocht	X	kocht|kochte|kochten|kochen|koche	189	1	40	1	0	0	0	33	0	0	0	0	117	1	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
187	34	Wasser	kochen	0	Wasserkochen	Optional	Object			20	Wassern	gekocht	X	kocht|kochte|kochten|kochen|koche	112	2	24	1	126	2	0	57	2	59	4	1	47	1	1116	45	12	0	0	57	2	0	0	4	0	0	1	0	588	14	1	8	0	247	30
218	35	Essen	kochen	0	Essenkochen	Optional	Object			18	Essen	gekocht	X	kocht|kochte|kochten|kochen|koche	107	1	26	0	103	0	3	57	0	62	12	1	62	2	730	187	9	0	0	118	20	1	0	2	0	0	1	0	151	37	1	0	0	88	30
245	36	Würze	kochen	0	Würzekochen	Optional	Object			15	Würze	gekocht	X	kocht|kochte|kochten|kochen|koche	37	0	13	0	2	0	0	19	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
248	37	Tee	kochen	0	Teekochen	Optional	Object			15	Tees	gekocht	X	kocht|kochte|kochten|kochen|koche	137	2	19	0	116	5	1	59	0	17	3	0	74	4	432	25	4	0	0	127	0	1	0	2	0	0	0	0	227	8	0	1	0	60	7
413	38	Reis	kochen	0	Reiskochen	Optional	Object			8	Reis	gekocht	X	kocht|kochte|kochten|kochen|koche	47	3	15	1	71	3	0	24	1	8	0	0	10	0	184	12	2	0	0	31	1	0	0	1	0	0	0	0	86	10	0	0	0	32	2
527	39	Marmelade	kochen	0	Marmeladekochen	Optional	Object			6	Marmeladen	gekocht	X	kocht|kochte|kochten|kochen|koche	66	0	3	0	12	0	0	35	0	17	1	0	18	0	172	5	0	0	0	23	0	1	0	0	0	0	0	0	93	4	0	0	0	28	1
77	40	Raub	kopieren	0	Raubkopieren	Optional	Adjunct			63	Raubs	kopiert	X	kopierte|kopiere|kopiert|kopierten|kopieren	601	215	160	28	3	0	0	76	8	0	0	0	328	251	0	0	0	1	11	0	0	1	0	0	0	0	32	274	0	0	0	77	653	1	0
455	41	Rücken	kraulen	0	Rückenkraulen	Transitive	Object			7	Rücken	gekrault	X	kraulten|krault|kraulen|kraulte	35	0	8	0	44	3	1	3	1	0	0	0	33	0	22	3	0	0	0	3	0	0	0	2	0	0	0	0	7	1	0	0	0	3	1
299	42	Arsch	kriechen	0	Arschkriechen	Intransitive	Adjunct			13	Ärsche	gekrochen	X	krochen|kriecht|kreucht|kroch|kreuchen|kriechen	101	50	21	8	197	59	0	16	2	5	0	0	80	52	19	11	0	1	1	5	1	2	1	0	0	0	0	2	4	2	0	1	2	4	2
353	43	Traum	landen	0	Traumlanden	Optional	Adjunct			10	Träume	gelandet	X	landet|landete|lande|landen|landest|landeten	34	0	31	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	71	2	1	0
354	44	Stamm	landen	0	Stammlanden	Optional	Adjunct			10	Stämme	gelandet	X	landet|landete|lande|landen|landest|landeten	119	0	25	0	0	0	0	0	0	0	0	0	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	165	0	0	0
658	45	Feuer	landen	0	Feuerlanden	Optional	Adjunct			5	Feuern	gelandet	X	landet|landete|lande|landen|landest|landeten	91	1	91	1	1	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	2	0	0
15	46	Wasser	lassen	0	Wasserlassen	Transitive	Object			380	Wassern	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	3595	110	499	9	137	3	1	1980	45	330	26	0	366	53	1084	62	3	0	4	278	8	1	0	8	0	1	4	2	1378	11	0	0	2	327	12
255	47	Harn	lassen	0	Harnlassen	Transitive	Object			15	Harn	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	152	8	21	0	2	0	0	62	4	2	0	0	26	3	17	1	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
301	48	Ader	lassen	0	Aderlassen	Transitive	Adjunct			13	Ader	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	89	7	25	0	0	0	0	22	0	75	0	0	52	5	12	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	10	0	2	0
576	49	Zeit	lassen	0	Zeitlassen	Transitive	Object			5	Zeiten	gelassen	X	laßt|ließt|lasst|liesse|liess|lässt|ließe|ließ|ließen|lassen|läßt|lasse	49	47	12	4	2976	30	2	2	0	39	3	0	30	73	8015	1099	1	0	0	653	44	0	0	0	0	0	5	29	2224	277	0	0	9	1901	222
20	50	Eis	laufen	0	Eislaufen	Intransitive	Adjunct			264	Eis	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	2282	256	265	1	37	0	0	506	19	22	0	1	2054	303	156	4	0	1	8	15	0	26	0	1	0	0	4	8	12	0	0	3	11	13	3
151	51	Amok	laufen	0	Amoklaufen	Intransitive	Adjunct			28	Amok	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	207	89	18	3	76	4	1	27	2	8	2	0	163	91	1113	215	4	4	5	293	35	3	0	2	0	0	9	12	418	90	1	18	19	653	88
203	52	Marathon	laufen	0	Marathonlaufen	Intransitive	Object			19	Marathons	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	172	7	40	2	642	12	2	48	1	40	1	0	139	4	499	13	11	0	2	115	3	2	0	1	0	0	0	0	249	9	0	2	0	131	5
327	53	Slalom	laufen	0	Slalomlaufen	Intransitive	Object			11	Slaloms	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	52	3	15	0	5	1	0	8	1	12	0	0	49	3	105	6	0	0	0	16	1	0	0	0	0	0	0	0	7	2	0	0	0	8	1
373	54	Fuß	laufen	0	Fußlaufen	Intransitive	Adjunct			10	Füsse	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	89	9	13	1	19	1	1	20	4	9	1	0	45	8	709	46	2	1	0	72	4	0	0	11	0	0	0	0	112	7	0	2	0	115	5
377	55	Cross	laufen	0	Crosslaufen	Intransitive	Adjunct			10	Cross	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	47	1	7	0	4	0	0	15	0	1	0	0	25	1	13	3	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	6	0
391	56	Paar	laufen	0	Paarlaufen	Intransitive	Adjunct			9	Paare	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	80	4	13	0	3	15	0	59	1	0	0	0	28	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
452	57	Show	laufen	0	Showlaufen	Intransitive	Adjunct			7	Shows	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	27	3	9	0	18	3	0	9	0	0	0	0	8	2	20	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	63	3
498	58	Watt	laufen	0	Wattlaufen	Intransitive	Adjunct			6	Watt	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	40	6	4	0	13	0	0	3	0	13	0	0	47	6	32	7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	22	2
513	59	Schi	laufen	0	Schilaufen	Intransitive	Adjunct			6	Schi	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	58	2	3	0	1	0	0	17	0	0	0	0	41	3	7	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0
568	60	Ausdauer	laufen	0	Ausdauerlaufen	Intransitive	Adjunct			6	Ausdauer	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	24	0	6	1	1	0	0	1	0	0	0	0	22	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
598	61	Seil	laufen	0	Seillaufen	Intransitive	Adjunct			5	Seile	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	42	3	6	0	18	1	0	5	0	2	0	0	61	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
626	62	Leine	laufen	0	Leinelaufen	Intransitive	Adjunct			5	Leinen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	43	0	12	0	518	28	4	7	0	0	0	0	11	0	2221	156	19	0	0	47	3	2	0	0	0	0	0	0	45	7	0	0	0	170	15
666	63	Bogen	laufen	0	Bogenlaufen	Intransitive	Object			5	Bögen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	43	1	12	0	46	2	0	16	0	6	0	0	22	1	34	3	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	1	0	5	2
361	64	Mast	legen	0	Mastlegen	Transitive	Object			10	Masten	gelegt	X	legte|legst|lege|legten|legen|legt	59	2	18	0	40	0	0	17	1	1	0	0	29	0	24	1	0	0	0	2	0	0	0	0	0	0	0	0	14	0	0	4	0	1	0
369	65	Grab	legen	0	Grablegen	Transitive	Object			10	Gräber	gelegt	X	legte|legst|lege|legten|legen|legt	194	0	63	0	41	0	0	1	0	84	2	0	89	0	67	3	0	0	0	13	1	0	0	1	0	0	0	0	54	3	0	1223	0	16	1
434	66	Feuer	legen	0	Feuerlegen	Transitive	Object			8	Feuern	gelegt	X	legte|legst|lege|legten|legen|legt	35	1	8	0	56	2	0	8	0	1343	125	2	16	2	222	25	0	0	0	92	3	1	0	1	0	0	0	0	334	5	0	0	0	74	3
635	67	Kabel	legen	0	Kabellegen	Transitive	Object			5	Kabeln	gelegt	X	legte|legst|lege|legten|legen|legt	22	3	7	1	90	8	1	7	1	3	3	0	10	1	162	31	0	0	0	19	6	1	0	0	0	0	0	0	52	3	0	0	0	5	3
234	68	Spiel	leiten	0	Spielleiten	Transitive	Object			16	Spiele	geleitet	X	leitet|leitete|leitest|leiteten|leiten|leite	93	15	15	0	188	3	0	19	2	2	0	0	37	15	16	5	1	0	0	4	3	2	0	0	0	0	1	1	4	0	0	32	18	9	2
100	69	Feder	lesen	0	Federlesen	Optional	Object			47	Federn	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las	402	11	202	1	1	0	0	3	0	0	0	0	86	15	24	0	0	0	0	22	2	0	0	0	0	0	0	0	14	0	0	12	1	7	0
630	70	Korrektur	lesen	0	Korrekturlesen	Optional	Adjunct			5	Korrekturen	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las	1704	264	408	8	32	2	0	470	25	22	4	1	876	289	655	76	5	3	36	199	27	11	0	2	0	0	25	215	527	31	0	7	26	118	11
675	71	Anker	lichten	0	Ankerlichten	Transitive	Object			5	Anker	gelichtet	X	lichtet|lichte|lichtete|lichteten|lichten	25	1	2	0	89	0	0	16	1	4	0	0	6	0	104	2	0	0	0	4	0	0	0	0	0	0	0	0	25	0	1	0	0	9	0
427	72	Kalk	löschen	0	Kalklöschen	Transitive	Object			8	Kalkes	gelöscht	X	löschte|löschten|löscht|löschen|lösche	16	0	4	0	1	0	0	4	0	1	0	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
334	73	Rätsel	lösen	0	Rätsellösen	Transitive	Object			11	Rätsel	gelöst	X	lösten|lösen|löste|löse|löst	119	0	21	0	891	13	1	37	0	8	1	0	51	0	863	60	0	0	0	436	17	1	0	1	0	0	0	0	278	26	0	3	0	91	9
387	74	Schleim	lösen	0	Schleimlösen	Transitive	Object			9	Schleime	gelöst	X	lösten|lösen|löste|löse|löst	38	11	1	0	29	0	0	36	6	10	0	0	4	4	20	1	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0
430	75	Haken	lösen	0	Hakenlösen	Transitive	Object			8	Haken	gelöst	X	lösten|lösen|löste|löse|löst	36	3	6	0	19	1	0	27	3	20	1	0	7	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	3	0
443	76	Wasser	lösen	0	Wasserlösen	Transitive	Object			7	Wassern	gelöst	X	lösten|lösen|löste|löse|löst	42	5	4	0	37	1	0	20	2	125	2	1	9	1	482	10	0	0	0	53	0	0	0	0	0	0	0	7	601	18	0	8	0	225	14
152	77	Daumen	lutschen	0	Daumenlutschen	Optional	Undetermined			27	Daumen	gelutscht	X	lutschten|lutschte|lutschen|lutscht	289	4	93	1	9	1	0	25	0	3	1	0	227	2	31	3	0	1	0	8	0	1	0	49	3	1	0	0	8	2	0	1	0	19	0
602	78	Schwanz	lutschen	0	Schwanzlutschen	Optional	Object			5	Schwänze	gelutscht	X	lutschten|lutschte|lutschen|lutscht	39	5	5	0	18	2	0	8	0	0	0	0	28	6	49	10	0	0	0	11	4	0	0	0	0	0	0	0	10	3	0	0	0	11	6
29	79	Musik	machen	0	Musikmachen	Transitive	Object			187	Musiken	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	1447	58	365	10	1132	77	1	521	22	270	21	2	541	35	7796	511	6	1	0	3593	115	109	7	67	2	1	1	0	1846	93	0	3	1	2358	151
71	80	Feuer	machen	0	Feuermachen	Transitive	Object			68	Feuern	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	554	26	115	3	298	7	2	220	5	100	4	2	274	17	1211	67	1	0	0	281	14	5	0	7	0	0	0	0	352	21	0	10	0	208	14
79	81	Mut	machen	0	Mutmachen	Transitive	Object			61	Mutes	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	431	56	66	5	1428	48	1	129	26	124	17	1	263	40	9149	344	4	1	1	2107	62	0	0	0	1	0	0	1	2578	169	0	17	5	1656	94
112	82	Radio	machen	0	Radiomachen	Transitive	Object			40	Radios	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	279	2	59	1	44	6	0	84	0	30	4	0	82	0	330	6	5	0	0	115	3	24	0	8	0	0	1	0	106	3	0	1	0	98	3
150	83	Beute	machen	0	Beutemachen	Transitive	Object			28	Beute	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	150	1	48	1	92	2	0	46	1	38	0	0	58	0	500	17	0	0	0	371	5	17	0	10	0	0	0	0	183	13	0	0	0	97	2
161	84	Schluss	machen	0	Schlussmachen	Transitive	Object			24	Schlüsse	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	171	96	54	6	76	30	0	42	6	98	17	0	97	110	4376	1276	1	0	17	1099	234	0	0	32	7	0	11	91	3082	1269	0	6	24	989	310
163	85	Party	machen	0	Partymachen	Transitive	Object			24	Partys	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	172	26	15	0	319	76	0	79	9	209	42	1	109	15	2883	561	3	0	0	491	50	1	1	11	3	0	0	1	579	108	0	1	0	323	32
171	86	Pipi	machen	0	Pipimachen	Transitive	Object			23	Pipi	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	190	26	35	2	59	11	0	101	14	191	49	0	71	16	775	142	1	0	0	62	14	0	0	0	2	0	0	0	161	31	0	0	0	102	20
226	87	Geld	machen	0	Geldmachen	Transitive	Object			17	Gelder	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	235	21	46	1	1702	180	0	95	6	130	16	0	65	13	6762	595	4	1	0	2398	150	4	0	2	0	0	0	1	1164	80	0	549	64	1378	102
254	88	Liebe	machen	0	Liebemachen	Transitive	Object			15	Liebe	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	101	17	23	1	98	7	1	28	2	41	3	1	50	16	801	114	0	0	0	117	9	1	0	4	0	0	0	0	423	56	5	4	0	871	80
257	89	Glas	machen	0	Glasmachen	Transitive	Object			15	Gläsern	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	25	1	10	0	20	1	0	8	0	1	1	0	7	1	74	7	0	0	0	16	0	0	0	1	0	0	2	0	51	1	0	0	0	34	3
