Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
501	Wasser	atmen	0			6	Wassern	geatmet	X	atmet|atmete|atmeten|atme|atmen|atmest	23	0	2	0	12	0	0	1	0	23	0	0	24	0	347	19	7	0	0	73	2	0	0	1	0	0	0	0	4	0	0	0	0	16	0
518	Plasma	ätzen	0			6	Plasma	geätzt	X	ätzt|ätzen|ätzten|ätzte|ätze	37	1	6	0	1	0	0	8	0	0	0	1	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	Zelt	aufbauen	0		auf	12	Zelten	aufgebaut	aufzubauen	aufbauen|aufbaut|aufbauten|aufbaust|aufbaute|aufbaue	99	7	39	0	223	6	0	26	3	23	3	0	32	2	481	24	0	0	0	0	0	0	0	1	0	0	0	0	192	6	0	18	0	46	2
578	Wasser	auffüllen	0		auf	5	Wassern	aufgefüllt	aufzufüllen	auffüllen|auffüllte|auffüllten|auffüllt|auffülle	24	3	9	1	119	3	0	14	1	9	1	0	11	2	1017	39	0	0	0	0	0	0	0	0	0	0	0	0	362	29	0	0	0	35	0
220	Wäsche	aufhängen	0		auf	17	Wäschen	aufgehängt	aufzuhängen	aufhing|aufhängen|aufhängt|aufhängst	153	5	24	0	94	4	0	114	1	71	5	1	43	1	453	49	4	0	0	0	0	2	0	1	0	0	0	0	79	6	0	0	0	30	0
474	Hand	aufheben	0		auf	7	Hände	aufgehoben	aufzuheben	aufhebe|aufhoben|aufheben|aufhob|aufhöben|aufhebt	155	0	3	0	14	2	0	0	0	0	0	0	227	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
27	Hand	auflegen	0		auf	210	Hände	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	2136	113	241	6	68	7	0	70	2	3	1	0	2335	129	232	12	1	0	0	0	0	1	1	0	0	0	1	1	21	3	0	5	0	20	0
631	Kopf	auflegen	0		auf	5	Köpfe	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	20	1	3	0	9	0	0	0	0	1	0	0	14	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
302	Zimmer	aufräumen	0		auf	12	Zimmer	aufgeräumt	aufzuräumen	aufräumten|aufräumen|aufräumt|aufräumte	43	6	6	0	75	2	1	12	1	15	1	1	23	5	806	109	1	0	0	0	0	0	0	0	0	0	0	0	146	22	0	0	0	50	2
449	Teppich	knüpfen	0			7	Teppichen	geknüpft	X	knüpfen|knüpfe|knüpft|knüpften|knüpfte	69	0	24	0	8	0	1	21	0	2	0	0	49	1	9	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
532	Knoten	knüpfen	0			6	Knoten	geknüpft	X	knüpfen|knüpfe|knüpft|knüpften|knüpfte	15	0	1	0	24	0	0	2	0	0	0	0	9	0	34	0	0	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	0	5	0
