Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
501	Wasser	atmen	0			6	Wassern	geatmet	X	atmet|atmete|atmeten|atme|atmen|atmest	5	0	0	0	0	0	0	0	0	3	0	0	4	0	13	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
518	Plasma	ätzen	0			6	Plasma	geätzt	X	ätzt|ätzen|ätzten|ätzte|ätze	6	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	Zelt	aufbauen	0		auf	12	Zelten	aufgebaut	aufzubauen	aufbauen|aufbaut|aufbauten|aufbaust|aufbaute|aufbaue	11	1	3	1	17	0	0	1	0	1	0	0	5	0	28	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	4	0
578	Wasser	auffüllen	0		auf	5	Wassern	aufgefüllt	aufzufüllen	auffüllen|auffüllte|auffüllten|auffüllt|auffülle	4	0	0	0	9	0	0	3	0	2	0	0	1	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	28	4	1	0	0	5	0
220	Wäsche	aufhängen	0		auf	17	Wäschen	aufgehängt	aufzuhängen	aufhing|aufhängen|aufhängt|aufhängst	16	0	2	0	8	0	0	9	0	8	0	0	3	0	31	4	0	0	0	0	0	0	0	1	0	0	0	0	11	1	0	0	0	1	0
474	Hand	aufheben	0		auf	7	Hände	aufgehoben	aufzuheben	aufhebe|aufhoben|aufheben|aufhob|aufhöben|aufhebt	7	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	Hand	auflegen	0		auf	210	Hände	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	186	6	8	1	7	0	0	5	0	0	0	0	144	4	10	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
631	Kopf	auflegen	0		auf	5	Köpfe	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	5	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
302	Zimmer	aufräumen	0		auf	12	Zimmer	aufgeräumt	aufzuräumen	aufräumten|aufräumen|aufräumt|aufräumte	12	1	2	0	9	0	0	3	0	1	0	0	6	1	44	11	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	7	0
290	Milch	aufschäumen	0		auf	13	Milch	aufgeschäumt	aufzuschäumen	aufschäumen|aufschäumt	11	0	2	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
51	Geld	ausgeben	0		aus	110	Gelder	ausgegeben	auszugeben	ausgibt|ausgaben|ausgibst|ausgebt|ausgab|ausgäbe|ausgebe|ausgeben	96	6	12	2	622	56	1	42	1	11	0	1	14	3	374	37	0	0	0	0	0	5	0	1	0	0	1	0	160	16	0	40	1	143	9
593	Stall	ausmisten	0		aus	5	Ställen	ausgemistet	auszumisten	ausmistet|ausmisten	4	0	1	0	8	1	0	1	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
633	Koffer	auspacken	0		aus	5	Koffer	ausgepackt	auszupacken	auspackt|auspackte|auspacken|auspackten	5	0	0	0	4	0	0	4	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
529	Licht	ausschalten	0		aus	6	Lichter	ausgeschaltet	auszuschalten	ausschalten|ausschaltete|ausschaltet|ausschalteten	4	0	1	0	28	0	0	1	0	1	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
575	Zeitung	austragen	0		aus	5	Zeitungen	ausgetragen	auszutragen	austrug|austrägt|austragen|austrage|austrugen	5	0	0	0	2	0	0	1	0	2	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
351	Winter	austreiben	0		aus	10	Winter	ausgetrieben	auszutreiben	austrieb|austrieben|austreiben|austreibt	9	0	1	0	1	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
352	Trikot	ausziehen	0		aus	10	Trikots	ausgezogen	auszuziehen	auszog|auszogen|ausziehen|ausziehe|auszieht	7	0	1	0	2	0	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0
378	Brot	backen	0			10	Broten	gebacken	X	buk|backt|buken|backte|backten|backen|bäckt|backe	130	0	36	0	17	0	0	54	0	7	0	0	26	0	50	0	0	0	0	25	2	0	0	1	0	0	0	0	41	2	0	0	0	17	0
86	Sauna	baden	0			55	Saunen	gebadet	X	baden|bade|badet|badeten|badete	39	0	15	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
240	Eis	baden	0			16	Eis	gebadet	X	baden|bade|badet|badeten|badete	15	2	8	0	0	0	0	2	0	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	Sand	baden	0			9	Sande	gebadet	X	baden|bade|badet|badeten|badete	6	0	2	0	0	0	0	1	0	3	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
497	Winter	baden	0			6	Winter	gebadet	X	baden|bade|badet|badeten|badete	4	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
