Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
75	Platte	kalken	n			12	Platten	gekalkt	X	kalken
78	Schuh	kaufen	e			11	Schuhe	gekauft	X	kauften|kaufen|kaufe|kaufet|kauft|kaufst|kaufte
116	Zicke	kicken	n			7	Zicken	gekickt	X	kickten|kicken|kickte|kicke|kickt
179	Plakat	kleben	e			5	Plakate	geklebt	X	klebte|klebe|klebten|klebst|kleben|klebt
94	Spruch	klopfen	~e			9	Sprüche	geklopft	X	klopft|klopfte|klopften|klopfen|klopfe
119	Stein	klopfen	e			7	Steine	geklopft	X	klopft|klopfte|klopften|klopfen|klopfe
6	Zahn	knirschen	~e			176	Zähne	geknirscht	X	knirschte|knirschen|knirscht|knirschten
71	Kontakt	knüpfen	e			13	Kontakte	geknüpft	X	knüpfen|knüpfe|knüpft|knüpften|knüpfte
145	Reihe	knutschen	n			6	Reihen	geknutscht	X	knutsche|knutschst|knutscht|knutschen|knutschte|knutschtest|knutschten
66	Ei	kochen	er			14	Eier	gekocht	X	kocht|kochte|kochten|kochen|koche
65	Kind	kriegen	er			14	Kinder	gekriegt	X	kriegst|kriege|kriegen|kriegten|kriegte|kriegt
32	Treppe	laufen	n			27	Treppen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen
68	Stelze	laufen	n			13	Stelzen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen
158	Form	laufen	en			6	Formen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen
191	Hürde	laufen	n			5	Hürden	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen
12	Glocke	läuten	n			75	Glocken	geläutet	X	läute|läutet|läuten|läuteten|läutete
84	Wunde	lecken	n			10	Wunden	geleckt	X	leckt|leckte|lecken|lecke|leckten
1	Karte	legen	n			595	Karten	gelegt	X	legte|legst|lege|legten|legen|legt
26	Fliese	legen	n			34	Fliesen	gelegt	X	legte|legst|lege|legten|legen|legt
102	Bombe	legen	n			9	Bomben	gelegt	X	legte|legst|lege|legten|legen|legt
146	Platte	legen	n			6	Platten	gelegt	X	legte|legst|lege|legten|legen|legt
148	Mine	legen	n			6	Minen	gelegt	X	legte|legst|lege|legten|legen|legt
172	Spur	legen	en			5	Spuren	gelegt	X	legte|legst|lege|legten|legen|legt
113	Gedanke	lesen	n			8	Gedanken	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las
135	Zeitung	lesen	s			6	Zeitungen	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las
143	Spur	lesen	en			6	Spuren	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las
