# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
Geschenk_+e_auspacken	3	
Gerät_+e_sinken	3	
Gericht_+s_erfahren	3	
Gerber_+s_hausen	3	
Genugtuung_+s_begehren	3	
Gedanke_+n_schinden	3	
Funktion_+s_heizen	3	
Funke_+n_schlagen	3	
Frühjahr_+s_singen	3	
Friede_+ns_denken	3	
Frau_+en_catchen	3	
Folie_+n_verpacken	3	
Fliese_+n_kleben	3	
Fliege_+n_werfen	3	
Fliege_+n_fangen	3	
Flanke_+n_schlagen	3	
Flamme_+n_werfen	3	
Figur_+en_zeichnen	3	
Figur_+en_schnitzen	3	
Faxe_+n_machen	3	
Evolution_+s_denken	3	
Erwerb_+s_willigen	3	
Erfahrung_+s_mäßigen	3	
Erde_+n_wirken	3	
Entspannung_+s_zucken	3	
Elefant_+en_baden	3	
Eintragung_+s_begehren	3	
Einheit_+s_erleben	3	
Ei_+er_kraulen	3	
Ei_+er_bemalen	3	
Dame_+n_kicken	3	
Bühne_+n_gebaren	3	
Bühne_+n_auftreten	3	
Bulle_+n_beißen	3	
Buch_+=er_wälzen	3	
Buch_+=er_verkaufen	3	
Buch_+=er_verbrennen	3	
Buch_+=er_lieben	3	
Buch_+=er_fressen	3	
Bruderschaft_+s_schießen	3	
Bremse_+n_entlüften	3	
Box_+en_testen	3	
Blume_+n_schenken	3	
Blase_+n_sieden	3	
Bildung_+s_vergleichen	3	
Bild_+er_gucken	3	
Biene_+n_erbrochen	3	
Bezug_+s_berechtigen	3	
Betrieb_+s_vergleichen	3	
Besprechung_+s_anfragen	3	
Berührung_+s_empfinden	3	
Bericht_+s_ersuchen	3	
Bekanntheit_+s_empfinden	3	
Beitritt_+s_begehren	3	
Behörde_+n_anfragen	3	
Behaglichkeit_+s_empfinden	3	
Beendigung_+s_anschreiben	3	
Barmherzigkeit_+s_empfinden	3	
Banane_+n_reiten	3	
Bahn_+en_ziehen	3	
Austritt_+s_willigen	3	
Ausrede_+n_lassen	3	
Ausbildung_+s_willigen	3	
Auge_+n_zudrücken	3	
Auge_+n_verschließen	3	
Auge_+n_verbinden	3	
Auge_+n_bluten	3	
Auftrieb_+s_beiwerten	3	
Aufstieg_+s_schießen	3	
Auflösung_+s_begehren	3	
Aufhebung_+s_begehren	3	
Arbeit_+en_gehen	3	
Antrag_+s_vorbringen	3	
Anspruch_+s_berechtigen	3	
Amme_+n_hausen	3	
Aktion_+s_geladen	3	
Abschreckung_+s_denken	3	
Abschied_+s_nehmen	3	
Übung_+s_springen	2	
Übersetzung_+s_vergleichen	2	
Überschlag_+s_rechnen	2	
Änder_+n_wollen	2	
Älteste_+n_schießen	2	
Ähnlichkeit_+s_empfinden	2	
Zwangsvollstreckung_+s_begehren	2	
Zwang_+s_zählen	2	
Zwang_+s_pausieren	2	
Zwang_+s_mästen	2	
Zwang_+s_eingewiesen	2	
Zwang_+s_denken	2	
Zusammenarbeit_+s_übereinkommen	2	
Zunge_+n_lecken	2	
Zukunft_+s_wohnen	2	
Zuhilfe_+n_ahmen	2	
Zufriedenheit_+s_empfinden	2	
Zigarre_+n_drehen	2	
Zigarette_+n_drehen	2	
Zigarette_+n_anzünden	2	
Ziffer_+n_rechnen	2	
Ziege_+n_melken	2	
Ziege_+n_käsen	2	
Zeuge_+n_aufrufen	2	
Zertifikat_+s_anfragen	2	
Zeitung_+s_holen	2	
Zeitung_+en_austragen	2	
Zecke_+n_hausen	2	
Zecke_+n_entfernen	2	
Zahn_+=e_bleichen	2	
Zahn_+=e_beißen	2	
Zahl_+en_jonglieren	2	
Zahl_+en_angeben	2	
Wüste_+n_fahren	2	
Wunsch_+=e_erfüllen	2	
Wolke_+n_hausen	2	
Wolke_+n_auflösen	2	
Wolf_+s_jaulen	2	
Witz_+e_verstehen	2	
Witz_+e_erklären	2	
Wirkung_+s_trinken	2	
Winter_+s_hausen	2	
Wiedereinsetzung_+s_begehren	2	
Widerstand_+s_löten	2	
Widerruf_+s_vergleichen	2	
Wicht_+s_hausen	2	
Wespe_+n_fangen	2	
Wesen_+s_testen	2	
Wert_+e_haben	2	
Weltanschauung_+s_beauftragen	2	
Welpe_+n_toben	2	
Welpe_+n_impfen	2	
Welpe_+n_gucken	2	
Welle_+n_schlagen	2	
Weihnacht_+s_zocken	2	
Weihnacht_+s_shoppen	2	
Weide_+n_flechten	2	
Weib_+er_kicken	2	
Watte_+n_laufen	2	
Ware_+n_tauschen	2	
Wal_+s_ertreffen	2	
Wal_+s_erorten	2	
Wal_+s_ergemeinden	2	
Wal_+s_ergebieten	2	
Wahrscheinlichkeit_+s_denken	2	
Wahrnehmung_+s_empfinden	2	
Wahnsinn_+s_nebenkosten	2	
Wahl_+s_hausen	2	
Waffe_+n_bauen	2	
Waffe_+n_abwehren	2	
Wade_+n_beißen	2	
Vortrag_+s_anfragen	2	
Vorrat_+s_doesen	2	
Vorhaben_+s_bezogen	2	
Vorführung_+s_ersuchen	2	
Vollstreckung_+s_begehren	2	
Vollkommenheit_+s_denken	2	
Volk_+s_zählen	2	
Volk_+s_denken	2	
Volk_+s_begehen	2	
Vision_+s_getrieben	2	
Vision_+en_sehen	2	
Verwertung_+s_denken	2	
Verwertung_+s_begehren	2	
Verwaltung_+s_unterlassen	2	
Verteilung_+s_rechnen	2	
Verschwörung_+s_denken	2	
Vers_+e_machen	2	
Verrechnung_+s_ersuchen	2	
Verlinkung_+s_anfragen	2	
Verlegung_+s_anfragen	2	
Verkauf_+s_anfragen	2	
Vergleich_+s_fliegen	2	
Vergangenheit_+s_denken	2	
Verfolgung_+s_fahren	2	
Verfahren_+s_bevollmächtigen	2	
Verbrauch_+s_angeben	2	
Verband_+s_denken	2	
Verband_+s_bestehen	2	
Veranstaltung_+s_anfragen	2	
Ventil_+e_einstellen	2	
Urlaub_+s_nebenkosten	2	
Untertan_+en_denken	2	
Unterstützung_+s_willigen	2	
Untersagung_+s_begehren	2	
Unterricht_+s_bezogen	2	
Unternehmen_+s_gründen	2	
Unternehmen_+s_erwerben	2	
Unterhalt_+s_berechtigen	2	
Unterhalt_+s_begehren	2	
Unsicherheit_+s_empfinden	2	
Unabhängigkeit_+s_streben	2	
Umzug_+s_wägen	2	
Umgebung_+s_saugen	2	
Uhr_+en_vergleichen	2	
Tüte_+n_bauen	2	
Tulpe_+n_setzen	2	
Träne_+n_trocknen	2	
Truppe_+n_bauen	2	
Triebwerk_+s_ausschreiben	2	
Treppe_+n_fahren	2	
Traum_+=e_deuten	2	
Traube_+n_zucken	2	
Tradition_+s_verbunden	2	
Tradition_+s_empfinden	2	
Tour_+en_wägen	2	
Tonne_+n_springen	2	
Teufel_+s_grinsen	2	
Teil_+e_tauschen	2	
Teil_+e_sortieren	2	
Säule_+n_schäften	2	
Stunde_+n_schlagen	2	
Stuhl_+=e_flechten	2	
Stufe_+n_hören	2	
Studie_+n_bezogen	2	
Studie_+n_bewerben	2	
Strecke_+n_fliegen	2	
Strecke_+n_fahren	2	
Straße_+n_navigieren	2	
Straße_+n_musizieren	2	
Straße_+n_bauen	2	
Stimmung_+s_geladen	2	
Stimme_+n_verzerren	2	
Stern_+en_geboren	2	
Stern_+e_pflücken	2	
Stereo_+s_kopieren	2	
Stelze_+n_gehen	2	
Stein_+e_kloppen	2	
Statistik_+en_fälschen	2	
Statistik_+en_auswerten	2	
Station_+s_gebunden	2	
Stange_+n_schrubben	2	
Sponsor_+en_anfragen	2	
Sonntag_+s_shoppen	2	
Sonne_+n_gelen	2	
Sonne_+n_branden	2	
Sohle_+n_brennen	2	
Skulptur_+en_bauen	2	
Sklave_+n_hausen	2	
Sitte_+n_haften	2	
Sicherheit_+s_beiwerten	2	
Sicherheit_+s_behören	2	
Sicherheit_+s_begehren	2	
Setzung_+s_fließen	2	
Serie_+n_anschreiben	2	
Senior_+en_tanzen	2	
Sekte_+n_denken	2	
Seite_+n_aufprallen	2	
Sein_+s_verstehen	2	
Seide_+n_malen	2	
Seele_+n_schwanken	2	
Seele_+n_saugen	2	
Seele_+n_erleben	2	
Schöpfung_+s_denken	2	
Schwein_+e_schubsen	2	
Schuh_+e_werfen	2	
Schrank_+=e_schieben	2	
Schnecke_+n_vernichten	2	
Schnauze_+n_schubsen	2	
Schnauze_+n_drohen	2	
Schlucht_+en_reißen	2	
Schloss_+=er_knacken	2	
Schlange_+n_stehen	2	
Schiff_+s_erfahren	2	
Schiene_+n_verkehren	2	
Schiene_+n_gebunden	2	
Schicksal_+s_ergeben	2	
Scheune_+n_abbrennen	2	
Schablone_+n_anlegen	2	
Sauberkeit_+s_empfinden	2	
Saite_+n_zupfen	2	
Saite_+n_aufziehen	2	
Rüstung_+s_durchdringen	2	
Rüsche_+n_hausen	2	
Rübe_+n_waschen	2	
Rübe_+n_schnitzen	2	
Rune_+n_werfen	2	
Runde_+n_fahren	2	
Rotter_+s_hausen	2	
Rose_+n_züchten	2	
Rippe_+n_zählen	2	
Riese_+n_radfahren	2	
Rettung_+s_baken	2	
Rest_+e_saufen	2	
Resolution_+s_begehren	2	
Repräsentation_+s_denken	2	
Rentabilität_+s_denken	2	
Rekrut_+en_exerzieren	2	
Reim_+e_fechten	2	
Reihe_+n_schalten	2	
Reich_+s_retten	2	
Reflex_+e_beschleunigen	2	
Reduktion_+s_begehren	2	
Rechtfertigung_+s_denken	2	
Rechnung_+s_anschreiben	2	
Realität_+s_denken	2	
Raute_+n_hausen	2	
Rasse_+n_denken	2	
Rakete_+n_schießen	2	
Rakete_+n_bauen	2	
Quote_+n_denken	2	
Quelle_+n_lassen	2	
Quelle_+n_angeben	2	
Quelle_+n_abfragen	2	
Qualität_+s_vergleichen	2	
Qualität_+s_streben	2	
Qualifikation_+s_bewerben	2	
Pyramide_+n_anschieben	2	
Puppe_+n_machen	2	
Punkt_+e_vergeben	2	
Punkt_+e_machen	2	
Publikum_+s_reiten	2	
Psalm_+en_beten	2	
Prüfung_+s_ersuchen	2	
Prüfung_+s_begehren	2	
Präzision_+s_drehen	2	
Preis_+e_einheimsen	2	
Praline_+n_fressen	2	
Polarität_+s_denken	2	
Platte_+n_verkaufen	2	
Platine_+n_ätzen	2	
Planung_+s_versagen	2	
Plan_+=e_machen	2	
Plakette_+n_schießen	2	
Piste_+n_fahren	2	
Piste_+n_biken	2	
Pfote_+n_auflegen	2	
Pflanze_+n_züchten	2	
Pflanze_+n_sortieren	2	
Pflanze_+n_bestimmen	2	
Perücke_+n_knüpfen	2	
Person_+en_wägen	2	
Perle_+n_weben	2	
Perle_+n_fransen	2	
Perle_+n_aufziehen	2	
Perfektion_+s_streben	2	
Perfektion_+s_denken	2	
Peinlichkeit_+s_empfinden	2	
Pauke_+n_grollen	2	
Patient_+en_überleben	2	
Patient_+en_bezogen	2	
Partei_+en_denken	2	
Paragraph_+en_reiten	2	
Page_+n_schießen	2	
Otter_+s_hausen	2	
Ort_+s_eigen	2	
Organisation_+s_denken	2	
Ordnung_+s_empfinden	2	
Orange_+n_schnitzen	2	
Ohr_+en_verstopfen	2	
Ohr_+en_reinigen	2	
Ohr_+en_laufen	2	
Ohr_+en_kupieren	2	
Ochse_+n_ziemen	2	
Ochse_+n_karren	2	
Oberfläche_+n_aussehen	2	
Nuss_+=e_knacken	2	
Nummer_+n_ziehen	2	
Note_+n_setzen	2	
Note_+n_kopieren	2	
Nonne_+n_weihen	2	
Nische_+n_denken	2	
Niederschlag_+s_gleichen	2	
Name_+n_anklicken	2	
Nachbarschaft_+s_abfragen	2	
Möwe_+n_kreischen	2	
Mönch_+s_weihen	2	
Muskete_+n_schäften	2	
Mumie_+n_schieben	2	
Motor_+en_brummen	2	
Modernisierung_+s_denken	2	
Metapher_+n_verstehen	2	
Menschenrecht_+s_beauftragen	2	
Mensch_+en_verstehen	2	
Mensch_+en_verbrennen	2	
Mensch_+en_jagen	2	
Mensch_+en_haben	2	
Menge_+n_abfragen	2	
Medaille_+n_tanzen	2	
Mauer_+n_durchschlagen	2	
Matte_+n_springen	2	
Matte_+n_legen	2	
Masse_+n_singen	2	
Masse_+n_erwachen	2	
Masse_+n_denken	2	
Masse_+n_campen	2	
Masse_+n_anschreiben	2	
Maske_+n_abstauben	2	
Maschine_+n_verpacken	2	
Marke_+n_empfinden	2	
Mannschaft_+s_reiten	2	
Mann_+=er_kochen	2	
Mann_+=er_denken	2	
Löschung_+s_begehren	2	
Lockerung_+s_versagen	2	
Loch_+=er_zumachen	2	
Liste_+n_machen	2	
Lippe_+n_brennen	2	
Linie_+n_verkehren	2	
Linie_+n_kleben	2	
Lieferant_+en_bezogen	2	
Lieferant_+en_anfragen	2	
Liebe_+s_erwachen	2	
Liebe_+s_erleben	2	
Liebe_+s_empfinden	2	
Leopard_+en_unterarten	2	
Leistung_+s_heterogen	2	
Leiche_+n_waschen	2	
Leiche_+n_ansagen	2	
Leben_+s_zutrauen	2	
Leben_+s_zeichnen	2	
Leben_+s_retten	2	
Leben_+s_erfahren	2	
Leben_+s_empfinden	2	
Latte_+n_schießen	2	
Laterne_+n_singen	2	
Laterne_+n_laufen	2	
Laterne_+n_fasten	2	
Last_+en_heben	2	
Landschaft_+s_zeichnen	2	
Kündigung_+s_begehren	2	
König_+s_landen	2	
Kutsche_+n_ziehen	2	
Kurve_+n_laufen	2	
Kurve_+n_kreischen	2	
Kupplung_+s_treten	2	
Kupplung_+s_tauschen	2	
Kunde_+n_empfinden	2	
Kulisse_+n_schieben	2	
Krücke_+n_laufen	2	
Kröte_+n_hausen	2	
Krise_+n_empfinden	2	
Krippe_+n_singen	2	
Krippe_+n_setzen	2	
Krem_+s_erwagen	2	
Kraut_+=er_trocknen	2	
Krankheit_+s_verdächtigen	2	
Krankheit_+s_bilden	2	
Krankheit_+s_bezogen	2	
Kraft_+=e_wirken	2	
Kraft_+=e_schonen	2	
Korinthe_+n_kacken	2	
Korb_+=e_flechten	2	
Koralle_+n_tauchen	2	
Koralle_+n_kleben	2	
Koralle_+n_kalken	2	
Kombination_+s_beiwerten	2	
Kohle_+n_laufen	2	
Knappheit_+s_denken	2	
Kleid_+er_baden	2	
Klasse_+n_überspringen	2	
Klasse_+n_empfinden	2	
Klamotte_+n_sortieren	2	
Klamotte_+n_shoppen	2	
Kirsche_+n_entsteinen	2	
Kirche_+n_läuten	2	
Kirche_+n_hausen	2	
Kippe_+n_rauchen	2	
Kippe_+n_hausen	2	
Kind_+er_landen	2	
Kind_+er_lachen	2	
Kind_+er_betreuen	2	
Kette_+n_hausen	2	
Kerze_+n_ausblasen	2	
Katze_+n_machen	2	
Katze_+n_haften	2	
Katze_+n_fangen	2	
Katze_+n_baden	2	
Kasse_+n_schlagen	2	
Karte_+n_spielen	2	
Karte_+n_nachziehen	2	
Karte_+n_kloppen	2	
Karte_+n_geben	2	
Karte_+n_erstellen	2	
Kappe_+n_nicken	2	
Kanone_+n_schießen	2	
Kalorie_+n_verbrennen	2	
Kalb_+=er_brüten	2	
Kaktee_+n_kochen	2	
Item_+s_färben	2	
Ion_+en_ätzen	2	
Integration_+s_versagen	2	
Inhalt_+s_angeben	2	
Information_+s_verschulden	2	
Information_+s_abfragen	2	
Immobilie_+n_besitzen	2	
Identität_+s_nicken	2	
Identität_+s_empfinden	2	
Identifikation_+s_anfragen	2	
Idee_+n_geben	2	
Höhle_+n_bauen	2	
Höhe_+n_verstellen	2	
Höhe_+n_richten	2	
Hypothese_+n_bilden	2	
Hund_+s_leiten	2	
Hund_+e_schlagen	2	
Hund_+e_baden	2	
Hund_+e_ausführen	2	
Huf_+e_machen	2	
Hochzeit_+s_schießen	2	
Hiller_+s_hausen	2	
Hetze_+n_hausen	2	
Herrschaft_+s_gebaren	2	
Herr_+en_walten	2	
Hengst_+e_springen	2	
Haushalt_+s_geraten	2	
Haushalt_+s_denken	2	
Hase_+n_jagen	2	
Handlung_+s_verstehen	2	
Handel_+s_gebaren	2	
Handel_+s_anfragen	2	
Hand_+=e_küssen	2	
Hand_+=e_heben	2	
Hand_+=e_halten	2	
Hand_+=e_desinfizieren	2	
Haltestelle_+n_durchsagen	2	
Hahn_+en_schießen	2	
Haar_+e_zupfen	2	
Haar_+e_trocknen	2	
Haar_+e_sträuben	2	
Gut_+=er_verkehren	2	
Gründung_+s_entschlossen	2	
Gruppe_+n_singen	2	
Gruppe_+n_richten	2	
Gruppe_+n_leiten	2	
Gruppe_+n_erleben	2	
Grundstück_+s_nebenkosten	2	
Grundlage_+n_schießen	2	
Grieche_+n_retten	2	
Gnade_+n_walten	2	
Glucke_+n_hausen	2	
Glocke_+n_schlagen	2	
Gilde_+n_anfragen	2	
Gewöhnung_+s_sprengen	2	
Gewährleistung_+s_bedingen	2	
Gewohnheit_+s_verlogen	2	
Gewicht_+e_heben	2	
Getränk_+e_holen	2	
Gesundheit_+s_untersuchen	2	
Gesicht_+s_zucken	2	
Gesellschaft_+s_trinken	2	
Geselligkeit_+s_trinken	2	
Geschäft_+s_wägen	2	
Geschäft_+s_machen	2	
Geschäft_+s_bestehen	2	
Geschwindigkeit_+s_empfinden	2	
Geschlecht_+s_gefangen	2	
Geschenk_+e_verpacken	2	
Geruch_+s_erleben	2	
Germane_+n_haben	2	
Generation_+s_offen	2	
Gemeinschaft_+s_fischen	2	
Geige_+n_bauen	2	
Gefolgschaft_+s_denken	2	
Geduld_+s_spielen	2	
Gebrauch_+s_spüren	2	
Gast_+=e_zählen	2	
Führung_+s_gebaren	2	
Führung_+s_denken	2	
Fährte_+n_lesen	2	
Funktion_+s_versagen	2	
Funktion_+s_röntgen	2	
Funke_+n_hausen	2	
Funke_+n_erodieren	2	
Frühling_+s_haften	2	
Frühjahr_+s_schießen	2	
Frühjahr_+s_erwachen	2	
Front_+en_denken	2	
Friede_+ns_bemühen	2	
Freundschaft_+s_singen	2	
Freiheit_+s_begehren	2	
Frau_+en_boxen	2	
Frage_+n_stellen	2	
Forschung_+s_denken	2	
Formation_+s_springen	2	
Formation_+s_laufen	2	
Form_+en_sehen	2	
Folie_+n_schweißen	2	
Folie_+n_rauchen	2	
Fläche_+n_kleben	2	
Fläche_+n_anpassen	2	
Flotte_+n_rüsten	2	
Flosse_+n_zucken	2	
Flosse_+n_schlagen	2	
Fliege_+n_lassen	2	
Fliege_+n_hausen	2	
Fliege_+n_fransen	2	
Fliege_+n_binden	2	
Flasche_+n_öffnen	2	
Flasche_+n_trinken	2	
Flasche_+n_sortieren	2	
Flasche_+n_laufen	2	
Flagge_+n_ziehen	2	
Flagge_+n_schwenken	2	
Fisch_+e_verschenken	2	
Fisch_+e_fangen	2	
Finanzierung_+s_nebenkosten	2	
Figurine_+n_zeichnen	2	
Figur_+en_tauschen	2	
Festplatte_+n_formatieren	2	
Ferse_+n_heben	2	
Fasching_+s_wägen	2	
Fasching_+s_reiten	2	
Familie_+n_zusammenleben	2	
Familie_+n_erleben	2	
Familie_+n_bezogen	2	
Familie_+n_betrieben	2	
Falle_+n_entdecken	2	
Esel_+s_karren	2	
Erwerb_+s_streben	2	
Erwartung_+s_denken	2	
Ertrag_+s_denken	2	
Ermittlung_+s_ersuchen	2	
Erholung_+s_reiten	2	
Erde_+n_wallen	2	
Entwöhnung_+s_willigen	2	
Entsprechung_+s_denken	2	
Entspannung_+s_bohren	2	
Entscheidung_+s_versagen	2	
Entscheidung_+s_betroffen	2	
Entladung_+s_leuchten	2	
Ente_+n_reiten	2	
Elle_+n_hausen	2	
Einweisung_+s_gefangen	2	
Einspruch_+s_begehren	2	
Einsicht_+s_begehren	2	
Einkunft_+s_einbüßen	2	
Eiche_+n_hausen	2	
Ei_+er_verzieren	2	
Ei_+er_abschrecken	2	
Ei_+er_ablegen	2	
Ecke_+n_abkürzen	2	
Düne_+n_surfen	2	
Durchleitung_+s_begehren	2	
Droge_+n_nehmen	2	
Droge_+n_dealen	2	
Droge_+n_beauftragen	2	
Dose_+n_setzen	2	
Dose_+n_fahren	2	
Doppel_+n_ahmen	2	
Dispersion_+s_färben	2	
Dimension_+s_springen	2	
Diffusion_+s_löten	2	
Depp_+en_werfen	2	
Darlehen_+s_nebenkosten	2	
Dame_+n_schießen	2	
Dame_+n_fechten	2	
Dame_+n_catchen	2	
Cocktail_+s_trinken	2	
Bühne_+n_fechten	2	
Bär_+en_brummen	2	
Buße_+n_hausen	2	
Buddel_+n_lassen	2	
Buch_+=er_verlegen	2	
Buch_+=er_tauschen	2	
Buch_+=er_lesen	2	
Buch_+=er_kaufen	2	
Buch_+=er_fasten	2	
Brücke_+n_springen	2	
Brief_+e_austragen	2	
Bremse_+n_betätigen	2	
Braue_+n_zucken	2	
Brandung_+s_fahren	2	
Brandung_+s_baden	2	
Box_+en_fressen	2	
Boot_+e_einsetzen	2	
Bombe_+n_bauen	2	
Blüte_+n_schäften	2	
Blume_+n_rauchen	2	
Blase_+n_platzen	2	
Birne_+n_schnitzen	2	
Billigkeit_+s_empfinden	2	
Bildung_+s_betroffen	2	
Bildung_+s_beflissen	2	
Bild_+er_zeigen	2	
Bild_+er_sortieren	2	
Bild_+er_erleben	2	
Bezirk_+s_singen	2	
Bett_+en_abziehen	2	
Betrieb_+s_gebunden	2	
Beschädigung_+s_beißen	2	
Beruf_+s_vertrieben	2	
Bereich_+s_denken	2	
Beratung_+s_verschulden	2	
Beratung_+s_begehren	2	
Beleidigung_+s_fechten	2	
Beitritt_+s_übereinkommen	2	
Beitritt_+s_anfragen	2	
Beitrag_+s_einahmen	2	
Behandlung_+s_anfragen	2	
Begriff_+s_denken	2	
Begegnung_+s_verkehren	2	
Beförderung_+s_begehren	2	
Bedrohung_+s_empfinden	2	
Bedienung_+s_anfragen	2	
Beamte_+n_denken	2	
Bauwerk_+s_versagen	2	
Baum_+=e_ausreißen	2	
Bank_+en_retten	2	
Ball_+=e_schlagen	2	
Autorität_+s_gebaren	2	
Autorität_+s_denken	2	
Auster_+n_schlürfen	2	
Auge_+n_zumachen	2	
Auge_+n_schonen	2	
Auge_+n_schminken	2	
Auge_+n_leuchten	2	
Auge_+n_ausstechen	2	
Auge_+n_auskratzen	2	
Auftrag_+s_anfragen	2	
Aufmerksamkeit_+s_empfinden	2	
Aufklärung_+s_drohen	2	
Aue_+n_hausen	2	
Art_+en_zählen	2	
Armut_+s_denken	2	
Armut_+s_bezogen	2	
Arm_+e_verschränken	2	
Arbeit_+s_platzen	2	
Arbeit_+s_erleben	2	
Antrag_+s_begehren	2	
Anteil_+s_erwerben	2	
Anstrengung_+s_empfinden	2	
Anpassung_+s_willigen	2	
Angriff_+s_bemühen	2	
Anfechtung_+s_begehren	2	
Anfang_+s_willigen	2	
Amme_+n_gebunden	2	
Alter_+s_wohnen	2	
Alter_+s_gedenken	2	
Alter_+s_erleben	2	
Alter_+s_angeben	2	
Alltag_+s_empfinden	2	
Alltag_+s_bloggen	2	
Alltag_+s_bezogen	2	
Alge_+n_fressen	2	
Alge_+n_auftreten	2	
Aktion_+s_abfragen	2	
Advent_+s_reiten	2	
Adoption_+s_willigen	2	
Adoption_+s_anfragen	2	
Abschied_+s_trinken	2	
Ablehnung_+s_begehren	2	
Übung_+s_werfen	1	
Übung_+s_töten	1	
Übung_+s_fahren	1	
Übung_+s_anladen	1	
Überwachung_+s_gebaren	1	
Überwachung_+s_behören	1	
Überwachung_+s_anfragen	1	
Übertragung_+s_wägen	1	
Überstunde_+n_zuschlagen	1	
Überstunde_+n_schieben	1	
Überschwemmung_+s_bebieten	1	
Überraschung_+s_kochen	1	
Überprüfung_+s_begehren	1	
Übernachtung_+s_willigen	1	
Übergang_+s_wohnen	1	
Öl_+s_hausen	1	
Öffentlichkeit_+s_beauftragen	1	
Öde_+n_hausen	1	
Äußerung_+s_willigen	1	
Änderung_+s_ersuchen	1	
Änderung_+s_antragen	1	
Ähre_+n_pathogen	1	
Ähre_+n_ausraufen	1	
Ähre_+n_abreißen	1	
Züchtung_+s_bemühen	1	
Zwilling_+e_vorzeigen	1	
Zwiebel_+n_geben	1	
Zwicke_+n_wollen	1	
Zweig_+e_schneiden	1	
Zweckmäßigkeit_+s_denken	1	
Zwang_+s_vertrieben	1	
Zwang_+s_umziehen	1	
Zwang_+s_trennen	1	
Zwang_+s_tanken	1	
Zwang_+s_prostituieren	1	
Zwang_+s_mischen	1	
Zwang_+s_landen	1	
Zwang_+s_konsumieren	1	
Zwang_+s_gebaren	1	
Zwang_+s_empfinden	1	
Zwang_+s_einzuweisen	1	
Zwang_+s_eingetrieben	1	
Zwang_+s_einflößen	1	
Zwang_+s_beitreten	1	
Zwang_+s_baden	1	
Zwang_+s_amputieren	1	
Zwang_+s_abmelden	1	
Zwang_+=e_auflegen	1	
Zustimmung_+s_begehren	1	
Zusammenhang_+s_denken	1	
Zusammengehörigkeit_+s_denken	1	
Zunge_+n_verknoten	1	
Zunge_+n_saugen	1	
Zunge_+n_boarden	1	
Zulassung_+s_vorbringen	1	
Zukunft_+s_wollen	1	
Zukunft_+s_offen	1	
Zukunft_+s_deuten	1	
Zugriff_+s_berechtigen	1	
Zugriff_+s_begehren	1	
Zugang_+s_begehren	1	
Zote_+n_reißen	1	
Zone_+n_springen	1	
Zone_+n_schmelzen	1	
Zivilisation_+s_erleben	1	
Zins_+en_nehmen	1	
Zins_+en_geben	1	
Zigarre_+n_rollen	1	
Zigarre_+n_machen	1	
Zigarette_+n_schachten	1	
Zigarette_+n_qualmen	1	
Zigarette_+n_kaufen	1	
Zielgruppe_+n_anschreiben	1	
Ziel_+e_finden	1	
Ziege_+n_zählen	1	
Zicke_+n_ficken	1	
Zeugung_+s_erhaben	1	
Zeuge_+n_schießen	1	
Zertifizierung_+s_anfragen	1	
Zerstörung_+s_aufhören	1	
Zelt_+e_aufbauen	1	
Zeitung_+s_zerreißen	1	
Zeitung_+s_verlegen	1	
Zeitung_+s_schlagen	1	
Zeitung_+s_kaufen	1	
Zeitung_+s_beziehen	1	
Zeitung_+s_ausfahren	1	
Zeit_+en_kommentieren	1	
Zeit_+en_gedenken	1	
Zeile_+n_schinden	1	
Zeile_+n_reißen	1	
Zehe_+n_heben	1	
Zeh_+en_zusammenkrallen	1	
Zeh_+en_abnehmen	1	
Zecke_+n_rausziehen	1	
Zecke_+n_impfen	1	
Zange_+n_knipsen	1	
Zange_+n_abbauen	1	
Zahn_+=e_machen	1	
Zahn_+=e_bohren	1	
Zahn_+=e_blecken	1	
Zahn_+=e_bekommen	1	
Zahn_+=e_bearbeiten	1	
Zahn_+=e_abschleifen	1	
Zahlung_+s_gebaren	1	
Zahlung_+s_erhalten	1	
Zahlung_+s_bedingen	1	
Zahl_+en_schieben	1	
Zahl_+en_eingeben	1	
Zahl_+en_berechnen	1	
Zaehn_+e_knirschen	1	
Zacke_+n_zählen	1	
Wüste_+n_wohnen	1	
Wüste_+n_gürten	1	
Wälder_+s_hausen	1	
Wächte_+n_reiten	1	
Wurzel_+n_zuerleben	1	
Wurst_+=e_machen	1	
Wunsch_+=e_ablesen	1	
Wunde_+n_zeigen	1	
Wunde_+n_verbinden	1	
Wunde_+n_reinigen	1	
Wort_+=er_zählen	1	
Wort_+=er_bilden	1	
Wort_+=er_bauen	1	
Wolke_+n_waschen	1	
Wolke_+n_schieben	1	
Wolke_+n_rechnen	1	
Wolke_+n_kratzen	1	
Wolke_+n_fransen	1	
Wolfram_+s_hausen	1	
Wolf_+s_knurren	1	
Wolf_+s_grinsen	1	
Wolf_+s_erwachen	1	
Wolf_+=e_verjagen	1	
Wohnung_+s_renovieren	1	
Wohnung_+s_bezogen	1	
Wohltätigkeit_+s_schießen	1	
Wohltätigkeit_+s_empfinden	1	
Wohlstand_+s_gebaren	1	
Wohlstand_+s_fressen	1	
Wohlstand_+s_fasten	1	
