# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
Pot_+s_hausen	13	
Pferd_+e_reiten	13	
Kontakt_+e_knüpfen	13	
Kind_+er_haben	13	
Information_+s_begehren	13	
Film_+e_gucken	13	
Erfolg_+s_denken	13	
Erfahrung_+s_bezogen	13	
Entscheidung_+s_schießen	13	
Brett_+er_schachten	13	
Auswanderung_+s_willigen	13	
Auslieferung_+s_begehren	13	
Alltag_+s_erleben	13	
Wiese_+n_weihen	12	
Volk_+s_radfahren	12	
Sicke_+n_hausen	12	
Platte_+n_kalken	12	
Krankheit_+s_erleben	12	
Karl_+s_hausen	12	
Gast_+=e_schießen	12	
Fortschritt_+s_denken	12	
Flinte_+n_schießen	12	
Familie_+n_stellen	12	
Bremse_+n_quietschen	12	
Zukunft_+s_denken	11	
Staat_+s_denken	11	
Spende_+n_willigen	11	
Schuh_+e_kaufen	11	
Revision_+s_vorbringen	11	
Revision_+s_begehren	11	
Regierung_+s_übereinkommen	11	
Peitsche_+n_knallen	11	
Maus_+=e_fangen	11	
Karte_+n_ziehen	11	
Identität_+s_erleben	11	
Haus_+=er_bauen	11	
Erbse_+n_zählen	11	
Bild_+er_einstellen	11	
Anschaffung_+s_nebenkosten	11	
Alltag_+s_denken	11	
Abschiebung_+s_gefangen	11	
Überlegenheit_+s_denken	10	
Wunde_+n_lecken	10	
Welle_+n_löten	10	
Waffe_+n_reinigen	10	
Verkehr_+s_durchsagen	10	
Unrecht_+s_empfinden	10	
Tanne_+n_hausen	10	
Seife_+n_sieden	10	
Scheidung_+s_begehren	10	
Master_+s_hausen	10	
Leistung_+s_versagen	10	
Krabbe_+n_pulen	10	
Kind_+er_machen	10	
Jubiläum_+s_schießen	10	
Hund_+e_bellen	10	
Gemeinschaft_+s_erleben	10	
Entwicklung_+s_denken	10	
Bulle_+n_hausen	10	
Bett_+en_beziehen	10	
Auge_+n_öffnen	10	
Alb_+s_hausen	10	
Zigarre_+n_rauchen	9	
Zigarette_+n_holen	9	
Wolf_+s_hausen	9	
Widder_+s_hausen	9	
Tag_+e_werben	9	
Spruch_+=e_klopfen	9	
Spieker_+s_hausen	9	
Schnecke_+n_hausen	9	
Ruhe_+n_lassen	9	
Robe_+n_hausen	9	
