Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
490	Buch	binden	0			7	Büchern	gebunden	X	banden|binde|binden|band|bänden|bindet|bände
475	Glas	blasen	0			7	Gläsern	geblasen	X	blasen|blase|bläst|blies|blast|bliesen
478	Gast	bloggen	0			7	Gästen	gebloggt	X	bloggt|bloggte|blogge|bloggen|bloggten|bloggst
236	Sand	boarden	0			16	Sande	geboardet	X	boarde|boardest|boardet|boardete|boardetest|boardeten
481	Finger	boarden	0			7	Finger	geboardet	X	boarde|boardest|boardet|boardete|boardetest|boardeten
491	Body	boarden	0			7	Bodys	geboardet	X	boarde|boardest|boardet|boardete|boardetest|boardeten
202	Nase	bohren	0			19	Nasen	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte
403	Brunnen	bohren	0			9	Brunnen	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte
566	Beton	bohren	0			6	Betons	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte
604	Schlag	bohren	0			5	Schlägen	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte
514	Schatten	boxen	0			6	Schatten	geboxt	X	boxe|boxt|boxte|boxten|boxen
141	Bier	brauen	0			30	Biere	gebraut	X	brauten|brauen|braute|braue|braut
241	Brot	brechen	0			16	Broten	gebrochen	X	brachen|brichst|bricht|brecht|bracht|brach|bräche|breche|brechen
177	Kalk	brennen	0			22	Kalkes	gebrannt	X	brenne|brennten|brennt|brannte|brannten|brennen
192	Helium	brennen	0			20	Helium	gebrannt	X	brenne|brennten|brennt|brannte|brannten|brennen
295	Fohlen	brennen	0			13	Fohlen	gebrannt	X	brenne|brennten|brennt|brannte|brannten|brennen
309	Schnaps	brennen	0			12	Schnäpsen	gebrannt	X	brenne|brennten|brennt|brannte|brannten|brennen
471	Kohlenstoff	brennen	0			7	Kohlenstoffe	gebrannt	X	brenne|brennten|brennt|brannte|brannten|brennen
665	Branntwein	brennen	0			5	Branntweine	gebrannt	X	brenne|brennten|brennt|brannte|brannten|brennen
232	Wild	campen	0			16	Wild	gecampt	X	campen|campt|campe
174	Schlamm	catchen	0			22	Schlämmen	gecatcht	X	catche|catchst|catcht|catchte|catchtest|catchtet|catchten
524	Model	checken	0			6	Models	gecheckt	X	checkst|checkt|checkte|checken|checkten
267	Musik	denken	0			14	Musiken	gedacht	X	dachtest|denken|dachte|denkt|dachten|denke|denkst
363	Kästchen	denken	0			10	Kästchen	gedacht	X	dachtest|denken|dachte|denkt|dachten|denke|denkst
592	Standort	denken	0			5	Standorten	gedacht	X	dachtest|denken|dachte|denkt|dachten|denke|denkst
583	Traum	deuten	0			5	Träume	gedeutet	X	deutete|deute|deuteten|deuten|deutet
559	Chor	dirigieren	0			6	Chören	dirigiert	X	dirigiert|dirigieren|dirigiere|dirigierte|dirigierten
619	Orchester	dirigieren	0			5	Orchestern	dirigiert	X	dirigiert|dirigieren|dirigiere|dirigierte|dirigierten
206	Däumchen	drehen	0			19	däumchen	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
