Index	Noun	Verb	Linking	Prefix	Particle	Freq
300	Arbeit	geben	0			13
358	Rat	geben	0			10
414	Recht	geben	0			8
429	Hand	geben	0			8
441	Zeugnis	geben	0			7
493	Auftrag	geben	0			7
614	Pfötchen	geben	0			5
78	Essen	gehen	0			62
533	Klo	gehen	0			6
600	Schwimmen	gehen	0			5
603	Schritt	gehen	0			5
70	Blei	gießen	0			69
445	Vakuum	gießen	0			7
487	Druck	gießen	0			7
628	Kugel	gießen	0			5
80	Para	gleiten	0			60
126	Wirbel	gleiten	0			34
179	Ballon	glühen	0			22
669	Beute	greifen	0			5
95	Fußball	gucken	0			48
155	Rudel	gucken	0			25
247	Video	gucken	0			15
482	Film	gucken	0			7
516	Probe	gucken	0			6
590	Stern	gucken	0			5
66	Teil	haben	0			72
115	Recht	haben	0			38
166	Spaß	haben	0			23
9	Kreuz	heben	0			481
26	Gewicht	heben	0			219
124	Bein	heben	0			35
194	Hand	heben	0			20
201	Schulter	heben	0			19
506	Stein	heben	0			6
136	Geist	heilen	0			31
324	Willkommen	heißen	0			11
469	Kopf	hochreißen	0		hoch	7
355	Stab	hochspringen	0		hoch	10
35	Luft	holen	0			151
60	Atem	holen	0			85
97	Wasser	holen	0			47
128	Brötchen	holen	0			34
196	Bier	holen	0			20
328	Schwung	holen	0			11
439	Appetit	holen	0			8
472	Kiel	holen	0			7
525	Milch	holen	0			6
638	Holz	holen	0			5
14	Musik	hören	0			398
31	Probe	hören	0			163
68	Radio	hören	0			71
282	Test	hören	0			13
366	Kopf	hören	0			10
133	Insel	hüpfen	0			32
647	Grund	immunisieren	0			5
148	Unkraut	jäten	0			28
105	Kaugummi	kauen	0			44
673	Auto	kaufen	0			5
253	Maus	klicken	0			15
41	Schulter	klopfen	0			131
235	Schenkel	klopfen	0			16
421	Monster	kloppen	0			8
538	Hoden	kneifen	0			6
283	Teig	kneten	0			13
449	Teppich	knüpfen	0			7
532	Knoten	knüpfen	0			6
69	Kaffee	kochen	0			69
167	Show	kochen	0			23
187	Wasser	kochen	0			20
218	Essen	kochen	0			18
245	Würze	kochen	0			15
248	Tee	kochen	0			15
413	Reis	kochen	0			8
527	Marmelade	kochen	0			6
77	Raub	kopieren	0			63
455	Rücken	kraulen	0			7
670	Bauch	kraulen	0			5
299	Arsch	kriechen	0			13
353	Traum	landen	0			10
354	Stamm	landen	0			10
658	Feuer	landen	0			5
15	Wasser	lassen	0			380
255	Harn	lassen	0			15
301	Ader	lassen	0			13
576	Zeit	lassen	0			5
20	Eis	laufen	0			264
151	Amok	laufen	0			28
203	Marathon	laufen	0			19
227	Feuer	laufen	0			17
259	Berg	laufen	0			15
327	Slalom	laufen	0			11
373	Fuß	laufen	0			10
377	Cross	laufen	0			10
391	Paar	laufen	0			9
452	Show	laufen	0			7
498	Watt	laufen	0			6
500	Wasser	laufen	0			6
513	Schi	laufen	0			6
568	Ausdauer	laufen	0			6
598	Seil	laufen	0			5
626	Leine	laufen	0			5
666	Bogen	laufen	0			5
298	Arsch	lecken	0			13
361	Mast	legen	0			10
369	Grab	legen	0			10
434	Feuer	legen	0			8
562	Boden	legen	0			6
635	Kabel	legen	0			5
234	Spiel	leiten	0			16
100	Feder	lesen	0			47
630	Korrektur	lesen	0			5
675	Anker	lichten	0			5
427	Kalk	löschen	0			8
334	Rätsel	lösen	0			11
387	Schleim	lösen	0			9
430	Haken	lösen	0			8
443	Wasser	lösen	0			7
152	Daumen	lutschen	0			27
602	Schwanz	lutschen	0			5
29	Musik	machen	0			187
71	Feuer	machen	0			68
79	Mut	machen	0			61
112	Radio	machen	0			40
150	Beute	machen	0			28
161	Schluss	machen	0			24
163	Party	machen	0			24
171	Pipi	machen	0			23
226	Geld	machen	0			17
254	Liebe	machen	0			15
257	Glas	machen	0			15
262	Theater	machen	0			14
275	Grab	machen	0			14
288	Politik	machen	0			13
305	Wein	machen	0			12
316	Heu	machen	0			12
322	Angst	machen	0			12
338	Kopf	machen	0			11
344	Fehler	machen	0			11
389	Platz	machen	0			9
